,borough_code,borough,Neighborhood,Zip,naics,est,median_income,white_pop,afr_am_pop,asian_pop,nat_am_pacif_pop,other_pop,multi_race_pop,population,Lat,Lng,white_pop_percent,afr_am_pop_percent,asian_pop_percent,nat_am_pacif_pop_percent,other_pop_percent,multi_race_pop_percent
151,4,Queens,Southwest Queens,11414,713940,4,72632,22755,813,1177,0,0,1399,26144,40.66152,-73.84438,87,3.1,4.5,0,0,5.35
152,4,Queens,Southwest Queens,11415,713940,4,65981,11915,1107,3896,0,0,771,17689,40.70779,-73.83066,67.4,6.3,22.02,0,0,4.36
153,4,Queens,Southwest Queens,11416,713940,2,61285,7720,1606,9234,26,26,1759,20371,40.68425,-73.85028,37.9,7.9,45.33,0.13,0.13,8.63
154,4,Queens,Southwest Queens,11417,713940,1,69989,12108,2250,9794,7,7,1743,25909,40.67691,-73.84478,46.7,8.7,37.8,0.03,0.03,6.73
155,4,Queens,Southwest Queens,11418,713940,2,67003,15604,2959,10254,0,0,2059,30876,40.69916,-73.83373,50.5,9.6,33.21,0,0,6.67
157,4,Queens,Southwest Queens,11420,713940,2,66220,7837,11937,14367,54,54,3370,37619,40.67505,-73.81548,20.8,31.7,38.19,0.14,0.14,8.96
158,4,Queens,Southwest Queens,11421,713940,1,69053,21617,1843,8921,0,0,2213,34594,40.69303,-73.85611,62.5,5.3,25.79,0,0,6.4
174,5,Staten_Island,Stapleton and St. George,10301,713940,2,55818,21731,10554,2347,0,0,2196,36828,40.63176,-74.09112,59,28.7,6.37,0,0,5.96
175,5,Staten_Island,Stapleton and St. George,10304,713940,1,54567,22095,11164,4044,14,14,1118,38449,40.61132,-74.08738,57.5,29,10.52,0.04,0.04,2.91
57,1,Brooklyn,Sunset Park,11220,713940,2,42559,28174,2369,41798,0,0,2376,74717,40.64132,-74.01347,37.7,3.2,55.94,0,0,3.18
91,3,Manhattan,Upper East Side,10021,713940,18,123842,36394,550,4756,112,112,1232,43156,40.76846,-73.95888,84.3,1.3,11.02,0.26,0.26,2.85
92,3,Manhattan,Upper East Side,10028,713940,14,119203,43504,688,4516,0,0,1080,49788,40.77594,-73.95254,87.4,1.4,9.07,0,0,2.17
93,3,Manhattan,Upper East Side,10044,713940,2,92623,5805,1589,3650,0,0,495,11539,40.76241,-73.94954,50.3,13.8,31.63,0,0,4.29
94,3,Manhattan,Upper East Side,10065,713940,10,124322,26200,694,2200,0,0,328,29422,40.76486,-73.95674,89,2.4,7.48,0,0,1.11
95,3,Manhattan,Upper East Side,10075,713940,6,129594,19979,292,960,0,0,580,21811,40.77284,-73.95522,91.6,1.3,4.4,0,0,2.66
96,3,Manhattan,Upper East Side,10128,713940,18,111937,49800,2747,6176,0,0,2498,61221,40.78133,-73.95034,81.3,4.5,10.09,0,0,4.08
97,3,Manhattan,Upper West Side,10023,713940,23,123951,49091,2266,6762,18,18,1435,59590,40.77704,-73.98199,82.4,3.8,11.35,0.03,0.03,2.41
98,3,Manhattan,Upper West Side,10024,713940,17,126107,48514,2724,4050,0,0,1574,56862,40.78635,-73.97543,85.3,4.8,7.12,0,0,2.77
99,3,Manhattan,Upper West Side,10025,713940,11,82352,60801,11824,9232,23,23,3700,85603,40.79818,-73.96743,71,13.8,10.78,0.03,0.03,4.32
132,4,Queens,West Central Queens,11374,713940,5,56863,23949,1724,13137,0,0,1794,40604,40.72805,-73.86066,59,4.2,32.35,0,0,4.42
133,4,Queens,West Central Queens,11375,713940,12,76467,45164,1896,20712,68,68,3000,70908,40.72255,-73.84545,63.7,2.7,29.21,0.1,0.1,4.23
135,4,Queens,West Central Queens,11385,713940,7,64481,87369,2142,7578,40,40,2030,99199,40.704,-73.89949,88.1,2.2,7.64,0.04,0.04,2.05
159,4,Queens,West Queens,11368,713940,4,47862,45355,13897,14013,12,12,2856,76145,40.74681,-73.86054,59.6,18.3,18.4,0.02,0.02,3.75
162,4,Queens,West Queens,11372,713940,5,53963,37858,1706,13151,176,176,2100,55167,40.75164,-73.88351,68.6,3.1,23.84,0.32,0.32,3.81
163,4,Queens,West Queens,11373,713940,1,49098,23348,2303,48874,12,12,2402,76951,40.74127,-73.87868,30.3,3,63.51,0.02,0.02,3.12
164,4,Queens,West Queens,11377,713940,5,54989,43531,2141,33982,0,0,2916,82570,40.74492,-73.9062,52.7,2.6,41.16,0,0,3.53
165,4,Queens,West Queens,11378,713940,2,68460,26531,511,3990,32,32,921,32017,40.72381,-73.9028,82.9,1.6,12.46,0.1,0.1,2.88
